text,ctext,stopwords_removed,cleaned_text
"Megaworld's Newly launched Pre-selling Prime Commercial Lots!

Maple Grove is an integrated CBD township in the fast emerging Gen Tri. Cavite spanning 140 hectares.

Curated cuts of 407 to 1,000 sqm (with option to combine)

- Extensive road network
- Ready captive market
- Easily accessible via Daang Hari, CAVITEX, CALAX and Governor's Drive

Starts at only Php 53K/sqm! First Come, First Serve.

Watch how progress unfolds!

For inquiries, contact ANDREW at: +63917****689","Megaworld's Newly launched Pre-selling Prime Commercial Lots! Maple Grove is an integrated CBD township in the fast emerging Gen Tri. Cavite spanning 140 hectares. Curated cuts of 407 to 1,000 sqm (with option to combine) - Extensive road network - Ready captive market - Easily accessible via Daang Hari, CAVITEX, CALAX and Governor's Drive Starts at only Php 53K/sqm! First Come, First Serve. Watch how progress unfolds! For inquiries, contact ANDREW at: +63917****689",megaworld newly launched pre selling prime commercial lots maple grove integrated cbd township fast emerging gen tri cavite spanning hectares curated cuts sqm option combine extensive road network ready captive market easily accessible via daang hari cavitex calax governor drive starts php sqm first come first serve watch progress unfolds inquiries contact andrew,megaworld newly launched pre selling prime commercial lots maple grove integrated cbd township fast gen tri cavite hectares cuts option combine extensive road network ready captive market easily accessible via daang hari governor drive starts php first come serve watch progress inquiries contact andrew
"The Biggest redevelopment along C5 in now ongoing! 16 hectares mix-used master planned community by ""Ortigas & Company in Synergy with Ayala Land"", neighboring well-knowned communities like Valle Verde will soon cater your needs.

The 1st residential tower within this community will soon be up for grabs. Be part of the this luxurious community at an affordable price.

For inquiries, kindly reply with your name and email address.","The Biggest redevelopment along C5 in now ongoing! 16 hectares mix-used master planned community by ""Ortigas & Company in Synergy with Ayala Land"", neighboring well-knowned communities like Valle Verde will soon cater your needs. The 1st residential tower within this community will soon be up for grabs. Be part of the this luxurious community at an affordable price. For inquiries, kindly reply with your name and email address.",biggest redevelopment along ongoing hectares mix used master planned community ortigas company synergy ayala land neighboring well knowned communities like valle verde soon cater needs residential tower within community soon grabs part luxurious community affordable price inquiries kindly reply name email address,biggest redevelopment along ongoing hectares mix used master community ortigas company synergy ayala land neighboring well communities like verde soon cater needs residential tower within part luxurious affordable price inquiries kindly reply name email address
"*Pre-selling OFFICE SPACE for sale
*Condotel for Sale.

*Ortigas & Co. projects in partnership w/ Ayala
3-22% DISCOUNT promo!
Only 145-165K per sqm only!
High-end Condo & high-end community

New project w/ launch very soon in Ortigas East ""Tiendesitas"" 50B redevelopment Plan

SMS email address for details.","*Pre-selling OFFICE SPACE for sale *Condotel for Sale. *Ortigas & Co. projects in partnership w/ Ayala 3-22% DISCOUNT promo! Only 145-165K per sqm only! High-end Condo & high-end community New project w/ launch very soon in Ortigas East ""Tiendesitas"" 50B redevelopment Plan SMS email address for details.",pre selling office space sale condotel sale ortigas projects partnership ayala discount promo k per sqm high end condo high end community new project launch soon ortigas east tiendesitas redevelopment plan sms email address details,pre selling office space sale condotel ortigas projects partnership ayala discount promo k per high end condo community new project launch soon east tiendesitas redevelopment plan sms email address details
" A Modern Ortigas

> P50-B redevelopment of Ortigas East formerly Tiendesitas ""The Greenbelt of C5""
> High End Community like Serendra BGC
> Townhouse, Condo, Office for Sale 
> Condotel (HII) 
> Developed by Ortigas in partnership w/ Ayala

For details pls reply w/ your Name & Email

Harry 
+63917****188","A Modern Ortigas > P50-B redevelopment of Ortigas East formerly Tiendesitas ""The Greenbelt of C5"" > High End Community like Serendra BGC > Townhouse, Condo, Office for Sale > Condotel (HII) > Developed by Ortigas in partnership w/ Ayala For details pls reply w/ your Name & Email Harry +63917****188",modern ortigas b redevelopment ortigas east formerly tiendesitas greenbelt high end community like serendra bgc townhouse condo office sale condotel hii developed ortigas partnership ayala details pls reply name email harry,modern ortigas b redevelopment east formerly tiendesitas greenbelt high end community like serendra townhouse condo office sale condotel developed partnership ayala details pls reply name email harry
"Are you into Properties in BGC, MAKATI, MOA, SAN JUAN, BINONDO & PASAY AREA?

Lease to Own Properties available in Makati.

Just reply with your name and email address for quotation.
Many thanks!","Are you into Properties in BGC, MAKATI, MOA, SAN JUAN, BINONDO & PASAY AREA? Lease to Own Properties available in Makati. Just reply with your name and email address for quotation. Many thanks!",properties bgc makati moa san juan binondo pasay area lease properties available makati reply name email address quotation many thanks,properties makati moa san juan binondo pasay area lease available reply name email address quotation many thanks
"[PondoPeso]You are granted P40000 Credit on Jan 9. Complete your profile and apply. Get cash in 12 hours.
Visit: bit.ly/Googleplay_Pondopeso
opt-out:text NO",[PondoPeso]You are granted P40000 Credit on Jan 9. Complete your profile and apply. Get cash in 12 hours. Visit: bit.ly/Googleplay_Pondopeso opt-out:text NO,granted credit jan complete profile apply get cash hours visit opt text,granted credit jan complete profile apply get cash hours visit opt text
"The Albany by Megaworld will be the 1st condo in BGC that will be SMART HOME equipped! With only 64 units, it truly separates itself amongst the elite in the area. 

Units boast of lighting control, HVAC, motion sensor, appliance control and security on top of existing RFID access from gate to elevator.

Units and parking:
2BR (123 sqm) - P35M
3BR (134 sqm) - P38M
Penthouse (349 sqm) - P99M

*Maple Grove Commercial Lots @ Php 57k/sqm only!

Call ANDREW at +63917****689","The Albany by Megaworld will be the 1st condo in BGC that will be SMART HOME equipped! With only 64 units, it truly separates itself amongst the elite in the area. Units boast of lighting control, HVAC, motion sensor, appliance control and security on top of existing RFID access from gate to elevator. Units and parking: 2BR (123 sqm) - P35M 3BR (134 sqm) - P38M Penthouse (349 sqm) - P99M *Maple Grove Commercial Lots @ Php 57k/sqm only! Call ANDREW at +63917****689",albany megaworld condo bgc smart home equipped units truly separates amongst elite area units boast lighting control hvac motion sensor appliance control security top existing rfid access gate elevator units parking sqm m sqm m penthouse sqm m maple grove commercial lots php sqm call andrew,megaworld condo smart home equipped units truly separates amongst elite area boast lighting control motion sensor appliance security top existing rfid access gate elevator parking m penthouse maple grove commercial lots php call andrew
"Lots available at the AlabangWest Village, an exclusive subdivision across Ayala Alabang Village and beside Landers Superstore Alabang:

1) 506 sqm
- central location; near the clubhouse

2) 297 sqm
- perfect rectangular cut; near the clubhouse

3 years installment without interest!

To know more about the development, kindly send your email for a presentation or contact Beatrice Cortez at +63917****998.","Lots available at the AlabangWest Village, an exclusive subdivision across Ayala Alabang Village and beside Landers Superstore Alabang: 1) 506 sqm - central location; near the clubhouse 2) 297 sqm - perfect rectangular cut; near the clubhouse 3 years installment without interest! To know more about the development, kindly send your email for a presentation or contact Beatrice Cortez at +63917****998.",lots available alabangwest village exclusive subdivision across ayala alabang village beside landers superstore alabang sqm central location near clubhouse sqm perfect rectangular cut near clubhouse years installment without interest know development kindly send email presentation contact beatrice cortez,lots available village exclusive subdivision across ayala alabang beside central location near clubhouse perfect rectangular cut years installment without interest know development kindly send email presentation contact beatrice cortez
"[peSoLoan]You Are Granted 8000 PeSo CreDit on Mar 2. Complete your file and apply. Get it in 12 hours. No meetup
Visit: bit.ly/googleplay_09
opt-out:msg NO",[peSoLoan]You Are Granted 8000 PeSo CreDit on Mar 2. Complete your file and apply. Get it in 12 hours. No meetup Visit: bit.ly/googleplay_09 opt-out:msg NO,granted peso credit mar complete file apply get hours meetup visit opt msg,granted peso credit mar complete file apply get hours visit opt msg
"[UPESo] you are granTed 12000 peSo creDit on Mar 10. ComPlete Your File and apply. Get it In 12 hours. 
Visit: bit.ly/upeso_googlePlay
opt-out:msg ""NO""","[UPESo] you are granTed 12000 peSo creDit on Mar 10. ComPlete Your File and apply. Get it In 12 hours. Visit: bit.ly/upeso_googlePlay opt-out:msg ""NO""",upeso granted peso credit mar complete file apply get hours visit opt msg,granted peso credit mar complete file apply get hours visit opt msg
"***CONDO/S FOR SALE***  
   
*by Shangri-La/Ayala*  
   
-25-72sq in Makati   
-81-250sq in Wack2/Ortigas   
-Resale Units save up to 8M  
-Good for Investment,Rentals,Selling,End Use   
   
W/ PROMOTERMS & NO DP  
This is the RIGHT time to Invest  
   
Reply with name & email for more cmplte infos   ","***CONDO/S FOR SALE*** *by Shangri-La/Ayala* -25-72sq in Makati -81-250sq in Wack2/Ortigas -Resale Units save up to 8M -Good for Investment,Rentals,Selling,End Use W/ PROMOTERMS & NO DP This is the RIGHT time to Invest Reply with name & email for more cmplte infos",condo sale shangri la ayala makati ortigas units save m investment rentals selling end use promoterms dp right time invest reply name email cmplte infos,condo sale la ayala makati ortigas units save m investment selling end use right time invest reply name email infos
"12000P waiting for you to apply in our App. No meet up, No guarantee. 
Click in Google play: bit.ly/googleplay_50","12000P waiting for you to apply in our App. No meet up, No guarantee. Click in Google play: bit.ly/googleplay_50",waiting apply app meet guarantee click google play,waiting apply meet guarantee click google play
"Lots available at the AlabangWest Village, an exclusive subdivision across Ayala Alabang Village and beside Landers Superstore Alabang:

1) 506 sqm
- central location; near the clubhouse

2) 357 sqm
- near the main gate

3 years installment without interest!

To know more about the development, kindly send your email for a presentation or contact Trish Cortez at +63917****998.","Lots available at the AlabangWest Village, an exclusive subdivision across Ayala Alabang Village and beside Landers Superstore Alabang: 1) 506 sqm - central location; near the clubhouse 2) 357 sqm - near the main gate 3 years installment without interest! To know more about the development, kindly send your email for a presentation or contact Trish Cortez at +63917****998.",lots available alabangwest village exclusive subdivision across ayala alabang village beside landers superstore alabang sqm central location near clubhouse sqm near main gate years installment without interest know development kindly send email presentation contact trish cortez,lots available village exclusive subdivision across ayala alabang beside central location near clubhouse main gate years installment without interest know development kindly send email presentation contact trish cortez
"The Newest Flagship Condo along C5

Maple at Ortigas East
- 31sqm Studio Unit
- No DP Promo, 30% for 5 years at 0% interest, Only 30k/month! 
- Launch Price

Location: Ortigas Ave, Julia Vargas cor C5 
- P60-B Re-Masterplan of Tiendesitas/Frontera Verde 
- a High-End community like Eastwood, Serendra BGC ""The Greenbelt of C5""
- Synergy of Ortigas, Ayala, SM 

For details pls reply with your name/email or visit www.atortigas.com thank you!

+63917****188","The Newest Flagship Condo along C5 Maple at Ortigas East - 31sqm Studio Unit - No DP Promo, 30% for 5 years at 0% interest, Only 30k/month! - Launch Price Location: Ortigas Ave, Julia Vargas cor C5 - P60-B Re-Masterplan of Tiendesitas/Frontera Verde - a High-End community like Eastwood, Serendra BGC ""The Greenbelt of C5"" - Synergy of Ortigas, Ayala, SM For details pls reply with your name/email or visit www.atortigas.com thank you! +63917****188",newest flagship condo along maple ortigas east studio unit dp promo years interest month launch price location ortigas ave julia vargas cor b re masterplan tiendesitas frontera verde high end community like eastwood serendra bgc greenbelt synergy ortigas ayala sm details pls reply name email visit thank,newest flagship condo along maple ortigas east studio unit promo years interest month launch price location ave julia vargas cor b re tiendesitas frontera verde high end community like eastwood serendra greenbelt synergy ayala sm details pls reply name email visit thank
"P12000 waiting for you to apply in our App. No meet up, No guarantee.
Visit: c7.gg/f9hTz
opt: text STOP
[Phloan]","P12000 waiting for you to apply in our App. No meet up, No guarantee. Visit: c7.gg/f9hTz opt: text STOP [Phloan]",waiting apply app meet guarantee visit opt text stop phloan,waiting apply meet guarantee visit opt text stop
"p Your aCCouNt is gRanTed P12000 on July 1, apply and get CaSh on the same day! No GuaRanTee, No MeetUp.
Visit: c7.gg/fB2W9
[pHLoAn]","p Your aCCouNt is gRanTed P12000 on July 1, apply and get CaSh on the same day! No GuaRanTee, No MeetUp. Visit: c7.gg/fB2W9 [pHLoAn]",p account granted july apply get cash day guarantee meetup visit phloan,p account granted july apply get cash day guarantee visit
"NEED CASH? Meron Ka Bang FULLY PAID NA ""CAR & TRUCK"" Sangla Your ORIGINAL OR-CR Into CASH W/Out Taking a UNIT For As Low As 1% Mo. Call/Txt: LARRY +63910****343","NEED CASH? Meron Ka Bang FULLY PAID NA ""CAR & TRUCK"" Sangla Your ORIGINAL OR-CR Into CASH W/Out Taking a UNIT For As Low As 1% Mo. Call/Txt: LARRY +63910****343",need cash meron bang fully paid car truck sangla original cr cash w taking unit low call txt larry,need cash meron bang fully paid car truck original cr w taking unit low call txt larry
"Be the FIRST to live in Capitol Commons

The Royalton

> 103sqm 2BR w/ parking
> 12% Promo Discount = Save and Earn around P2.5M! (Extended only until Sep. 30!)
> Only at 179K/sqm! The most affordable luxury condo in Capitol Commons
> 6 units a floor

For details pls reply with your name & email or visit us here www.AtOrtigas.com thank you!

+63917****188",Be the FIRST to live in Capitol Commons The Royalton > 103sqm 2BR w/ parking > 12% Promo Discount = Save and Earn around P2.5M! (Extended only until Sep. 30!) > Only at 179K/sqm! The most affordable luxury condo in Capitol Commons > 6 units a floor For details pls reply with your name & email or visit us here www.AtOrtigas.com thank you! +63917****188,first live capitol commons royalton parking promo discount save earn around m extended sqm affordable luxury condo capitol commons units floor details pls reply name email visit us thank,first live capitol commons parking promo discount save earn around m extended affordable luxury condo units floor details pls reply name email visit us thank
"Be the FIRST to live in Capitol Commons

The Royalton

> 103sqm 2BR w/ parking
> 12% Promo Discount = Save and Earn around P2.5M! (Extended only until Sep. 30!)
> Only at 179K/sqm! The most affordable luxury condo in Capitol Commons
> 6 units a floor

For details pls reply with your name & email or visit us here www.AtOrtigas.com thank you!

+63917****188",Be the FIRST to live in Capitol Commons The Royalton > 103sqm 2BR w/ parking > 12% Promo Discount = Save and Earn around P2.5M! (Extended only until Sep. 30!) > Only at 179K/sqm! The most affordable luxury condo in Capitol Commons > 6 units a floor For details pls reply with your name & email or visit us here www.AtOrtigas.com thank you! +63917****188,first live capitol commons royalton parking promo discount save earn around m extended sqm affordable luxury condo capitol commons units floor details pls reply name email visit us thank,first live capitol commons parking promo discount save earn around m extended affordable luxury condo units floor details pls reply name email visit us thank
"Good Day!This Is MS.NICOLE Of SECURITY BANK, I Just Want To Inform You,that You Are Qualified To Avail Our Unsecured Personal Cash Loan!You Can Loan 100K Up To 5M,depending On Your Monthly Income.No Collateral,No Hidden Charges.2-3 Banking Days Processing!Pls.Reply Yes,your Name And Your Contact # To Expedite Your Loan.
Thank you so much","Good Day!This Is MS.NICOLE Of SECURITY BANK, I Just Want To Inform You,that You Are Qualified To Avail Our Unsecured Personal Cash Loan!You Can Loan 100K Up To 5M,depending On Your Monthly Income.No Collateral,No Hidden Charges.2-3 Banking Days Processing!Pls.Reply Yes,your Name And Your Contact # To Expedite Your Loan. Thank you so much",good security bank want inform qualified avail unsecured personal cash loan k depending monthly income collateral hidden banking days reply yes name contact expedite loan thank much,good security bank want inform qualified avail unsecured personal cash loan k depending monthly income collateral hidden banking days reply yes name contact expedite thank much
"Hiring for German Speakers in Taguig - Document Analyst w/ related exp, shifting, 75-85K; & Billing Analyst w/ knowledge in SAP Billing Suite is a plus, Midshift, 60-75K; Written & spoken proficiency in the German & English. kimphil28@gmail.com
","Hiring for German Speakers in Taguig - Document Analyst w/ related exp, shifting, 75-85K; & Billing Analyst w/ knowledge in SAP Billing Suite is a plus, Midshift, 60-75K; Written & spoken proficiency in the German & English. kimphil28@gmail.com",hiring german speakers taguig document analyst related exp shifting k billing analyst knowledge sap billing suite plus midshift k written spoken proficiency german english,hiring german speakers taguig document analyst related shifting k billing knowledge sap suite plus written spoken proficiency english
"Hiring for German Sheperds in Taguig - Document Analyst w/ related exp, shifting, 75-85K; & Billing Analyst w/ knowledge in SAP Billing Suite is a plus, Midshift, 60-75K; Written & spoken proficiency in the German & English. kimphil28@gmail.com
","Hiring for German Sheperds in Taguig - Document Analyst w/ related exp, shifting, 75-85K; & Billing Analyst w/ knowledge in SAP Billing Suite is a plus, Midshift, 60-75K; Written & spoken proficiency in the German & English. kimphil28@gmail.com",hiring german sheperds taguig document analyst related exp shifting k billing analyst knowledge sap billing suite plus midshift k written spoken proficiency german english,hiring german taguig document analyst related shifting k billing knowledge sap suite plus written spoken proficiency english
"The Rise Makati along Ayala-Ave
Bnew-1BR Starts @5.8M by Shangri-La

The Only ""Premium Grade Office Tower for sale in Ortigas CBD"" along ADB AVE
5units left for 58K/month over 68mos w/0% interest

High-end Residential Tower in Ortigas Center
23-35K ONLY/mo.

Send name&email for details.Message now!","The Rise Makati along Ayala-Ave Bnew-1BR Starts @5.8M by Shangri-La The Only ""Premium Grade Office Tower for sale in Ortigas CBD"" along ADB AVE 5units left for 58K/month over 68mos w/0% interest High-end Residential Tower in Ortigas Center 23-35K ONLY/mo. Send name&email for details.Message now!",rise makati along ayala ave starts m shangri la premium grade office tower sale ortigas cbd along adb ave left month interest high end residential tower ortigas center k send details message,rise makati along ayala ave starts m la premium grade office tower sale ortigas cbd adb left month interest high end residential center k send details message
"808

1/2 12-May 12:28: P200 has been transferred from +63951****723 to Your Mobile Account.
Ref#290186706800",808 1/2 12-May 12:28: P200 has been transferred from +63951****723 to Your Mobile Account. Ref#290186706800,transferred mobile account,transferred mobile account
"iho/iha nag ka mali ata ako ng pasa load. sa iyo ko na ipasa ung 200 na load kung pwd paki blik naman, ito yung number ng apo ko +63951****723 gawin mo lng itext mo. +63951****723 200 isend mo sa 808. replayan mo ng YES ang susunod na mensahe.Salamat nak pasensya na sa abala, pg palain ka sana","iho/iha nag ka mali ata ako ng pasa load. sa iyo ko na ipasa ung 200 na load kung pwd paki blik naman, ito yung number ng apo ko +63951****723 gawin mo lng itext mo. +63951****723 200 isend mo sa 808. replayan mo ng YES ang susunod na mensahe.Salamat nak pasensya na sa abala, pg palain ka sana",iho iha nag mali ata pasa load ipasa ung load pwd paki blik naman yung number apo gawin lng itext isend replayan yes susunod mensahe salamat nak pasensya abala pg palain sana,iho iha nag mali ata pasa load ipasa ung pwd paki blik naman yung number apo gawin lng itext yes susunod mensahe salamat nak pasensya abala pg sana
"Tropa! Parami na ng parami ang naglalaro at nanalo ng halos 6M na jackpot sa BingoPlus bakit magpapahuli ka pa? Register na, FREE ko na 40P mo.","Tropa! Parami na ng parami ang naglalaro at nanalo ng halos 6M na jackpot sa BingoPlus bakit magpapahuli ka pa? Register na, FREE ko na 40P mo.",tropa parami parami naglalaro nanalo halos m jackpot bingoplus magpapahuli register free,tropa parami naglalaro nanalo halos m jackpot magpapahuli register free
"Welcome ! your have P1222 for S!ot , 
Web: 11y.life     
Good Luck!C","Welcome ! your have P1222 for S!ot , Web: 11y.life Good Luck!C",welcome web good,welcome web good
"My god, at least 999P rewards waiting for you

UrI: pinaswin,com

Best Ba,raha  .r","My god, at least 999P rewards waiting for you UrI: pinaswin,com Best Ba,raha .r",god least rewards waiting uri pinaswin com best ba raha,god least rewards waiting uri com best ba
"DEAR VIP , No. 1 Online Sabong Site here in SBET!

Register now and Play Cockfighting and Slot Game Machine! You can claim your 100 FREE BET CREDIT and Win 88k Cash Prizes! here in sbet7now.com/SABONGNOW","DEAR VIP , No. 1 Online Sabong Site here in SBET! Register now and Play Cockfighting and Slot Game Machine! You can claim your 100 FREE BET CREDIT and Win 88k Cash Prizes! here in sbet7now.com/SABONGNOW",dear vip online sabong site sbet register play cockfighting slot game machine claim free bet credit win cash prizes,dear vip online sabong site register play cockfighting slot game machine claim free bet credit win cash prizes
"! Today, you can win the iphone14PROMAX while earning a ton of cash prizes in W+. You can receive a 7777 Sign-up Bonus. click now! wp8luck.com/8888WIN","! Today, you can win the iphone14PROMAX while earning a ton of cash prizes in W+. You can receive a 7777 Sign-up Bonus. click now! wp8luck.com/8888WIN",today win earning ton cash prizes receive sign bonus click,today win earning ton cash prizes receive sign bonus click
"Welcome ! your have P1222 for S!ot , 
Web: great-s.life
Good Luck!U","Welcome ! your have P1222 for S!ot , Web: great-s.life Good Luck!U",welcome web good,welcome web good
